Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Duke Abbruzzi,/A/AbbrDu20.htm,HB-DB,0,1,1946,False,0,0,0,0,0
Husain Abdullah,/A/AbduHu99.htm,DB,0,8,2015,False,0,0,0,0,0
Hamza Abdullah,/A/AbduHa20.htm,DB,0,7,2011,False,0,0,0,0,0
Clifton Abraham,/A/AbraCl20.htm,DB,0,3,1997,False,0,0,0,0,0
Cliff Aberson,/A/AberCl20.htm,TB-DB,0,1,1946,False,0,0,0,0,0
Donnie Abraham,/A/AbraDo00.htm,DB,0,9,2004,False,0,1,0,0,0
Kevin Abrams,/A/AbraKe20.htm,DB,0,3,1999,False,0,0,0,0,0
Frank Abruzzino,/A/AbruFr20.htm,BB-LB-C-G-E-WB-DB,0,3,1933,False,0,0,0,0,0
Fred Acorn,/A/AcorFr20.htm,DB,0,1,1984,False,0,0,0,0,0
Blue Adams,/A/AdamBl20.htm,DB,0,5,2007,False,0,0,0,0,0
Jamar Adams,/A/AdamJa20.htm,DB,0,3,2010,False,0,0,0,0,0
Michael Adams,/A/AdamMi20.htm,DB,0,3,1989,False,0,0,0,0,0
Mike Adams,/A/AdamMi21.htm,DB,0,16,2019,True,0,2,0,0,0
Michael Adams,/A/AdamMi98.htm,DB,0,7,2013,False,0,0,0,0,0
Phillip Adams,/A/AdamPh00.htm,DB,0,6,2015,False,0,0,0,0,0
Stefon Adams,/A/AdamSt21.htm,DB,0,5,1990,False,0,0,0,0,0
Vashone Adams,/A/AdamVa20.htm,DB,0,3,1997,False,0,0,0,0,0
Herb Adderley,/A/AddeHe00.htm,DB,1,12,1972,False,0,5,4,3,0
Kevin Adkins,/A/AdkiKe20.htm,DB,0,1,1987,False,0,0,0,0,0
Al Afalava,/A/AfalAl99.htm,DB,0,4,2012,False,0,0,0,0,0
Bob Agler,/A/AgleBo20.htm,HB-DB-FB-LB,0,2,1949,False,0,0,0,0,0
Chris Akins,/A/AkinCh20.htm,DB,0,5,2003,False,0,0,0,1,0
Al Akins,/A/AkinAl20.htm,HB-DB,0,3,1948,False,0,0,0,0,0
Dick Alban,/A/AlbaDi00.htm,DB,0,8,1959,False,0,1,0,0,0
Vannie Albanese,/A/AlbaVa20.htm,FB-DB-BB-LB,0,2,1938,False,0,0,0,0,0
Frankie Albert,/A/AlbeFr00.htm,QB-DB,0,7,1952,False,0,1,0,0,0
Vince Albritton,/A/AlbrVi20.htm,DB,0,8,1991,False,0,0,0,0,0
Bennie Aldridge,/A/AldrBe00.htm,DB-HB,0,4,1953,False,0,0,0,0,0
Melvin Aldridge,/A/AldrMe20.htm,DB,0,3,1995,False,0,0,0,0,0
Brent Alexander,/A/AlexBr20.htm,DB,0,12,2005,False,0,0,0,0,0
Bruce Alexander,/A/AlexBr21.htm,DB,0,5,1993,False,0,0,0,0,0
Gerald Alexander,/A/AlexGe99.htm,DB,0,5,2011,False,0,0,0,0,0
Kermit Alexander,/A/AlexKe01.htm,DB,0,11,1973,False,0,1,0,0,0
Roc Alexander,/A/AlexRo21.htm,DB,0,3,2006,False,0,0,0,0,0
Willie Alexander,/A/AlexWi20.htm,DB,0,9,1979,False,0,0,0,0,0
Julie Alfonse,/A/AlfoJu20.htm,WB-TB-DB,0,2,1938,False,0,0,0,0,0
Bruce Alford,/A/AlfoBr01.htm,E-DB,0,6,1951,False,0,0,1,0,0
Gene Alford,/A/AlfoGe20.htm,WB-DB-BB-FB,0,4,1934,False,0,0,0,0,0
Asher Allen,/A/AlleAs99.htm,DB,0,3,2011,False,0,0,0,0,0
Carl Allen,/A/AlleCa20.htm,RB-DB,0,1,1948,False,0,0,0,0,0
Carl Allen,/A/AlleCa21.htm,DB,0,6,1982,False,0,0,0,0,0
Cortez Allen,/A/AlleCo00.htm,DB,0,5,2015,False,0,0,0,0,0
Earl Allen,/A/AlleEa20.htm,DB,0,1,1987,False,0,0,0,0,0
Eric Allen,/A/AlleEr00.htm,DB,0,14,2001,False,0,6,1,0,0
Egypt Allen,/A/AlleEg20.htm,DB,0,1,1987,False,0,0,0,0,0
Ermal Allen,/A/AlleEr20.htm,QB-DB,0,1,1947,False,0,0,0,0,0
Harvey Allen,/A/AlleHa20.htm,DB,0,1,1987,False,0,0,0,0,0
Jackie Allen,/A/AlleJa20.htm,DB,0,4,1972,False,0,0,0,0,0
Jason Allen,/A/AlleJa23.htm,DB,0,7,2012,False,0,0,0,0,0
Jeff Allen,/A/AlleJe21.htm,DB,0,1,1971,False,0,0,0,0,0
Jeff Allen,/A/AlleJe20.htm,DB,0,3,1982,False,0,0,0,0,0
Jimmy Allen,/A/AlleJi20.htm,DB,0,8,1981,False,0,0,0,2,0
Nate Allen,/A/AlleNa20.htm,DB,0,9,1979,False,0,0,0,0,0
Nate Allen,/A/AlleNa99.htm,DB,0,8,2017,False,0,0,0,0,0
Patrick Allen,/A/AllePa20.htm,DB,0,7,1990,False,0,0,0,0,0
Taje Allen,/A/AlleTa20.htm,DB,0,6,2002,False,0,0,0,1,0
Will Allen,/A/AlleWi20.htm,DB,0,12,2012,False,0,0,0,0,0
Will Allen,/A/AlleWi21.htm,DB,0,12,2015,False,0,0,0,0,0
Brian Allred,/A/AllrBr20.htm,DB,0,1,1993,False,0,0,0,0,0
Jonathon Amaya,/A/AmayJo00.htm,DB,0,3,2012,False,0,0,0,0,0
John Amberg,/A/AmbeJo00.htm,DB-HB,0,2,1952,False,0,0,0,0,0
Glen Amerson,/A/AmerGl20.htm,DB,0,1,1961,False,0,0,0,0,0
Ashley Ambrose,/A/AmbrAs00.htm,DB,0,13,2004,False,0,1,1,0,0
Dave Ames,/A/AmesDa00.htm,HB-DB,0,1,1961,False,0,0,0,0,0
Vito Ananis,/A/AnanVi20.htm,HB-DB,0,1,1945,False,0,0,0,0,0
Anthony Anderson,/A/AndeAn21.htm,DB,0,1,1987,False,0,0,0,0,0
Billy Anderson,/A/AndeBi01.htm,DB-HB,0,2,1954,False,0,0,0,0,0
Brandon Anderson,/A/AndeBr23.htm,DB,0,1,2009,False,0,0,0,0,0
Darren Anderson,/A/AndeDa20.htm,DB,0,7,1998,False,0,0,0,0,0
Curtis Anderson,/A/AndeCu21.htm,DB,0,1,1997,False,0,0,0,0,0
Colt Anderson,/A/AndeCo01.htm,DB,0,8,2017,False,0,0,0,0,0
Don Anderson,/A/AndeDo20.htm,DB,0,3,1987,False,0,0,0,0,0
Dwayne Anderson,/A/AndeDw20.htm,DB,0,1,1987,False,0,0,0,0,0
Dwight Anderson,/A/AndeDw21.htm,DB,0,2,2005,False,0,0,0,0,0
Eddie Anderson,/A/AndeEd21.htm,DB,0,12,1997,False,0,0,0,0,0
Herbie Anderson,/A/AndeHe20.htm,DB,0,1,1991,False,0,0,0,0,0
Jerry Anderson,/A/AndeJe20.htm,DB,0,2,1978,False,0,0,0,0,0
Dick Anderson,/A/AndeDi00.htm,DB,0,10,1977,False,0,3,2,2,0
Larry Anderson,/A/AndeLa20.htm,DB,0,7,1984,False,0,0,0,2,0
Kim Anderson,/A/AndeKi20.htm,DB,0,5,1984,False,0,0,0,0,0
Marques Anderson,/A/AndeMa22.htm,DB,0,4,2005,False,0,0,0,0,0
Preston Anderson,/A/AndePr20.htm,DB,0,1,1974,False,0,0,0,0,0
Ralph Anderson,/A/AndeRa20.htm,DB,0,3,1973,False,0,0,0,0,0
Rashard Anderson,/A/AndeRa21.htm,DB,0,2,2001,False,0,0,0,0,0
Vince Anderson,/A/AndeVi00.htm,DB,0,1,2010,False,0,0,0,0,0
William Anderson,/A/AndeWi21.htm,DB,0,2,1976,False,0,0,0,0,0
Jaby Andrews,/A/AndrJa20.htm,WB-DB,0,1,1934,False,0,0,0,0,0
Willie Andrews,/A/AndrWi20.htm,DB,0,2,2007,False,0,0,0,0,0
Terrence Anthony,/A/AnthTe20.htm,DB,0,1,1987,False,0,0,0,0,0
