Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Lou Creekmur,/C/CreeLo00.htm,T-G-DG-DT,1,10,1959,False,0,8,6,0,0
Lou Creekmur,/C/CreeLo00.htm,T-G-DG-DT,1,10,1959,False,0,8,6,0,0
Haloti Ngata,/N/NgatHa20.htm,DT,0,13,2018,False,0,5,2,1,0
Alan Page,/P/PageAl00.htm,DT,1,15,1981,False,1,9,6,0,0
John Randle,/R/RandJo00.htm,DT-DE,1,14,2003,False,0,7,6,0,0
Warren Sapp,/S/SappWa00.htm,DT,1,13,2007,False,0,7,4,1,0
George Achica,/A/AchiGe20.htm,DT,0,1,1985,False,0,0,0,0,0
Larry Brooks,/B/BrooLa00.htm,DT,0,11,1982,False,0,5,1,0,0
DeForest Buckner,/B/BuckDe00.htm,DT,0,4,2019,True,0,1,0,0,0
Tim Bulman,/B/BulmTi20.htm,DT,0,7,2011,False,0,0,0,0,0
Mike Bundra,/B/BundMi20.htm,DT,0,4,1965,False,0,0,0,0,0
Brodrick Bunkley,/B/BunkBr20.htm,DT,0,9,2014,False,0,0,0,0,0
Rosey Grier,/G/GrieRo00.htm,DT-DE,0,12,1966,False,0,2,1,0,0
Cornelius Griffin,/G/GrifCo20.htm,DT,0,10,2009,False,0,0,0,0,0
Dan Hampton,/H/HampDa01.htm,DE-DT,1,12,1990,False,0,4,1,1,0
Bob Lilly,/L/LillBo00.htm,DT-DE,1,14,1974,False,0,11,7,1,0
Roy Miller,/M/MillRo99.htm,DT,0,9,2017,False,0,0,0,0,0
Joe Nash,/N/NashJo00.htm,NT-DT,0,15,1996,False,0,1,1,0,0
John Yonakor,/Y/YonaJo20.htm,E-DE-DT,0,7,1952,False,0,0,0,0,0
Bob Young,/Y/YounBo00.htm,G-DE-DT,0,16,1981,False,0,2,1,0,0
Brian Young,/Y/YounBr20.htm,DT,0,9,2008,False,0,0,0,0,0
