Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Josh Allen,/A/AlleJo03.htm,EDGE,0,1,2019,True,0,1,0,0,0
Ben Banogu,/B/BanoBe00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Nick Bosa,/B/BosaNi00.htm,EDGE,0,1,2019,True,0,1,0,0,0
Austin Bryant,/B/BryaAu00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Brian Burns,/B/BurnBr00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Maxx Crosby,/C/CrosMa00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Clelin Ferrell,/F/FerrCl00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Justin Hollins,/H/HollJu00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Joe Jackson,/J/JackJo02.htm,EDGE,0,1,2019,True,0,0,0,0,0
Christian Miller,/M/MillCh04.htm,EDGE,0,1,2019,True,0,0,0,0,0
Shareef Miller,/M/MillSh00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Montez Sweat,/S/SweaMo00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Chase Winovich,/W/WinoCh00.htm,EDGE,0,1,2019,True,0,0,0,0,0
Oshane Ximines,/X/XimiOs00.htm,EDGE,0,1,2019,True,0,0,0,0,0
