Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Kiko Alonso,/A/AlonKi00.htm,ILB,0,7,2019,True,0,0,0,0,0
Stephone Anthony,/A/AnthSt00.htm,ILB,0,5,2019,True,0,0,0,0,0
Sam Barrington,/B/BarrSa00.htm,ILB,0,4,2016,False,0,0,0,0,0
Lamin Barrow,/B/BarrLa00.htm,ILB,0,2,2015,False,0,0,0,0,0
Steve Beauharnais,/B/BeauSt00.htm,ILB,0,2,2014,False,0,0,0,0,0
Kendell Beckwith,/B/BeckKe00.htm,ILB,0,1,2017,True,0,0,0,0,0
Ja'Whaun Bentley,/B/BentJa00.htm,ILB,0,2,2019,True,0,0,0,1,0
Keishawn Bierria,/B/BierKe00.htm,ILB,0,2,2019,True,0,0,0,0,0
Chris Borland,/B/BorlCh00.htm,ILB,0,1,2014,False,0,0,0,0,0
Kentrell Brothers,/B/BrotKe00.htm,ILB,0,4,2019,True,0,0,0,0,0
Blair Brown,/B/BrowBl00.htm,ILB,0,2,2018,False,0,0,0,0,0
Jayon Brown,/B/BrowJa06.htm,ILB,0,3,2019,True,0,0,0,0,0
Preston Brown,/B/BrowPr00.htm,ILB,0,6,2019,True,0,0,0,0,0
Max Bullough,/B/BullMa00.htm,ILB,0,3,2016,False,0,0,0,0,0
Riley Bullough,/B/BullRi00.htm,ILB,0,2,2018,True,0,0,0,0,0
Oren Burks,/B/BurkOr00.htm,ILB,0,2,2019,True,0,0,0,0,0
Jason Cabinda,/C/CabiJa00.htm,ILB,0,2,2019,True,0,0,0,0,0
Tank Carder,/C/CardTa00.htm,ILB,0,5,2016,False,0,0,0,0,0
Jack Cichy,/C/CichJa00.htm,ILB,0,2,2019,True,0,0,0,0,0
Audie Cole,/C/ColeAu00.htm,ILB,0,5,2016,False,0,0,0,0,0
Jarrad Davis,/D/DaviJa01.htm,ILB,0,3,2019,True,0,0,0,0,0
Tremaine Edmunds,/E/EdmuTr01.htm,ILB,0,2,2019,True,0,1,0,0,0
Jordan Evans,/E/EvanJo01.htm,ILB,0,3,2019,True,0,0,0,0,0
Rashaan Evans,/E/EvanRa01.htm,ILB,0,2,2019,True,0,0,0,0,0
Josh Forrest,/F/ForrJo00.htm,ILB,0,2,2017,False,0,0,0,0,0
Reuben Foster,/F/FostRe00.htm,ILB,0,2,2018,True,0,0,0,0,0
Ben Gedeon,/G/GedeBe00.htm,ILB,0,3,2019,True,0,0,0,0,0
Jeremiah George,/G/GeorJe01.htm,ILB,0,4,2017,False,0,0,0,0,0
Najee Goode,/G/GoodNa00.htm,ILB,0,8,2019,True,0,0,0,1,0
Bryce Hager,/H/HageBr00.htm,ILB,0,5,2019,True,0,0,0,0,0
Ben Heeney,/H/HeenBe00.htm,ILB,0,3,2017,False,0,0,0,0,0
Brandon Hepburn,/H/HepbBr00.htm,ILB,0,1,2014,False,0,0,0,0,0
Amarlo Herrera,/H/HerrAm00.htm,ILB,0,1,2015,False,0,0,0,0,0
Dont'a Hightower,/H/HighDo01.htm,ILB,0,8,2019,True,0,2,0,3,0
Mike Hull,/H/HullMi01.htm,ILB,0,4,2018,True,0,0,0,0,0
Andrew Jackson,/J/JackAn02.htm,ILB,0,1,2014,False,0,0,0,0,0
Josey Jewell,/J/JeweJo00.htm,ILB,0,2,2019,True,0,0,0,0,0
James-Michael Johnson,/J/JohnJa04.htm,ILB,0,4,2015,False,0,0,0,0,0
Nico Johnson,/J/JohnNi00.htm,ILB,0,3,2015,False,0,0,0,0,0
Christian Jones,/J/JoneCh05.htm,ILB,0,6,2019,True,0,0,0,0,0
Taiwan Jones,/J/JoneTa01.htm,ILB,0,1,2016,False,0,0,0,0,0
Eric Kendricks,/K/KendEr00.htm,ILB,0,5,2019,True,0,1,1,0,0
Mychal Kendricks,/K/KendMy00.htm,ILB,0,8,2019,True,0,0,0,1,0
Micah Kiser,/K/KiseMi00.htm,ILB,0,1,2018,True,0,0,0,0,0
A.J. Klein,/K/KleiAJ00.htm,ILB,0,7,2019,True,0,0,0,0,0
Luke Kuechly,/K/KuecLu00.htm,ILB,0,8,2019,True,0,7,5,0,0
Nick Kwiatkoski,/K/KwiaNi00.htm,ILB,0,4,2019,True,0,0,0,0,0
Harvey Langi,/L/LangHa00.htm,ILB,0,3,2019,True,0,0,0,0,0
Marquel Lee,/L/LeexMa01.htm,ILB,0,3,2019,True,0,0,0,0,0
Blake Martinez,/M/MartBl01.htm,ILB,0,4,2019,True,0,0,0,0,0
Tyler Matakevich,/M/MataTy00.htm,ILB,0,4,2019,True,0,0,0,0,0
David Mayo,/M/MayoDa00.htm,ILB,0,5,2019,True,0,0,0,0,0
Benardrick McKinney,/M/McKiBe00.htm,ILB,0,5,2019,True,0,1,0,0,0
Raekwon McMillan,/M/McMiRa02.htm,ILB,0,2,2019,True,0,0,0,0,0
Caleb McSurdy,/M/McSuCa00.htm,ILB,0,1,2012,False,0,0,0,0,0
Kevin Minter,/M/MintKe00.htm,ILB,0,7,2019,True,0,0,0,0,0
James Morris,/M/MorrJa01.htm,ILB,0,2,2015,False,0,0,0,1,0
Antonio Morrison,/M/MorrAn01.htm,ILB,0,3,2018,False,0,0,0,0,0
C.J. Mosley,/M/MoslC.00.htm,ILB,0,6,2019,True,0,4,0,0,0
Hardy Nickerson,/N/NickHa02.htm,ILB,0,3,2019,True,0,0,0,0,0
Jared Norris,/N/NorrJa00.htm,ILB,0,3,2018,False,0,0,0,0,0
Denzel Perryman,/P/PerrDe00.htm,ILB,0,5,2019,True,0,0,0,0,0
Hayes Pullard,/P/PullHa00.htm,ILB,0,4,2018,False,0,0,0,0,0
Reggie Ragland,/R/RaglRe00.htm,ILB,0,3,2019,True,0,0,0,1,0
Kevin Reddick,/R/ReddKe00.htm,ILB,0,3,2015,False,0,0,0,0,0
Elandon Roberts,/R/RobeEl00.htm,ILB,0,4,2019,True,0,0,0,2,0
Shayne Skov,/S/SkovSh00.htm,ILB,0,3,2016,False,0,0,0,0,0
