Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Vadal Alexander,/A/AlexVa00.htm,OG,0,2,2017,False,0,0,0,0,0
Isaac Asiata,/A/AsiaIs00.htm,OG,0,2,2018,True,0,0,0,0,0
Jeff Baca,/B/BacaJe00.htm,OG,0,2,2014,False,0,0,0,0,0
Alvin Bailey,/B/BailAl01.htm,OG,0,4,2016,False,0,0,0,1,0
Zach Banner,/B/BannZa00.htm,OG,0,3,2019,True,0,0,0,0,0
Chris Barker,/B/BarkCh00.htm,OG,0,3,2015,False,0,0,0,1,0
Russell Bodine,/B/BodiRu00.htm,OG,0,5,2018,True,0,0,0,0,0
Ben Braden,/B/BradBe00.htm,OG,0,2,2019,True,0,0,0,0,0
A.J. Cann,/C/CannA.00.htm,OG,0,5,2019,True,0,0,0,0,0
Tyler Catalina,/C/CataTy00.htm,OG,0,1,2017,False,0,0,0,0,0
Aviante Collins,/C/CollAv00.htm,OG,0,3,2019,True,0,0,0,0,0
Jonathan Cooper,/C/CoopJo01.htm,OG,0,5,2018,True,0,0,0,0,0
Joe Dahl,/D/DahlJo00.htm,OG,0,4,2019,True,0,0,0,0,0
Dion Dawkins,/D/DawkDi00.htm,OG,0,3,2019,True,0,0,0,0,0
Jamil Douglas,/D/DougJa00.htm,OG,0,5,2019,True,0,0,0,0,0
Spencer Drango,/D/DranSp00.htm,OG,0,2,2017,True,0,0,0,0,0
Kadeem Edwards,/E/EdwaKa00.htm,OG,0,1,2014,False,0,0,0,0,0
Parker Ehinger,/E/EhinPa00.htm,OG,0,4,2019,True,0,0,0,0,0
Jermaine Eluemunor,/E/ElueJe00.htm,OG,0,3,2019,True,0,0,0,0,0
Dan Feeney,/F/FeenDa00.htm,OG,0,3,2019,True,0,0,0,0,0
Jon Feliciano,/F/FeliJo00.htm,OG,0,5,2019,True,0,0,0,0,0
Zach Fulton,/F/FultZa00.htm,OG,0,6,2019,True,0,0,0,0,0
Joshua Garnett,/G/GarnJo00.htm,OG,0,3,2018,False,0,0,0,0,0
Garrett Gilkey,/G/GilkGa00.htm,OG,0,2,2014,False,0,0,0,0,0
Graham Glasgow,/G/GlasGr00.htm,OG,0,4,2019,True,0,0,0,0,0
Mark Glowinski,/G/GlowMa00.htm,OG,0,5,2019,True,0,0,0,0,0
Ryan Groy,/G/GroyRy00.htm,OG,0,6,2019,True,0,0,0,0,0
Jon Halapio,/H/HalaJo00.htm,OG,0,6,2019,True,0,0,0,0,0
Sean Harlow,/H/HarlSe00.htm,OG,0,1,2019,True,0,0,0,0,0
Bobby Hart,/H/HartBo00.htm,OG,0,5,2019,True,0,0,0,0,0
Taylor Hearn,/H/HearTa00.htm,OG,0,1,2018,False,0,0,0,0,0
Eric Herman,/H/HermEr00.htm,OG,0,1,2014,False,0,0,0,0,0
Will Hernandez,/H/HernWi00.htm,OG,0,2,2019,True,0,0,0,0,0
Danny Isidora,/I/IsidDa00.htm,OG,0,3,2019,True,0,0,0,0,0
Gabe Jackson,/J/JackGa00.htm,OG,0,6,2019,True,0,0,0,0,0
Tre' Jackson,/J/JackTr00.htm,OG,0,1,2015,False,0,0,0,0,0
Sam Jones,/J/JoneSa00.htm,OG,0,1,2018,True,0,0,0,0,0
Kyle Kalis,/K/KaliKy00.htm,OG,0,2,2018,True,0,0,0,0,0
Ted Karras,/K/KarrTe00.htm,OG,0,4,2019,True,0,0,0,2,0
Denver Kirkland,/K/KirkDe00.htm,OG,0,3,2018,False,0,0,0,0,0
Arie Kouandjio,/K/KouaAr00.htm,OG,0,3,2017,False,0,0,0,0,0
Forrest Lamp,/L/LampFo00.htm,OG,0,2,2019,True,0,0,0,0,0
Charles Leno,/L/LenoCh00.htm,OG,0,6,2019,True,0,1,0,0,0
Brandon Linder,/L/LindBr00.htm,OG,0,6,2019,True,0,0,0,0,0
Spencer Long,/L/LongSp00.htm,OG,0,6,2019,True,0,0,0,0,0
Zack Martin,/M/MartZa00.htm,OG,0,6,2019,True,0,6,4,0,0
Connor McGovern,/M/McGoCo00.htm,OG,0,3,2019,True,0,0,0,0,0
John Miller,/M/MillJo04.htm,OG,0,5,2019,True,0,0,0,0,0
Quenton Nelson,/N/NelsQu00.htm,OG,0,2,2019,True,0,2,2,0,0
Rees Odhiambo,/O/OdhiRe00.htm,OG,0,3,2018,True,0,0,0,0,0
Adam Pankey,/P/PankAd00.htm,OG,0,3,2019,True,0,0,0,0,0
Justin Pugh,/P/PughJu00.htm,OG,0,7,2019,True,0,0,0,0,0
Cyril Richardson,/R/RichCy00.htm,OG,0,1,2014,False,0,0,0,0,0
Jordan Roos,/R/RoosJo00.htm,OG,0,3,2019,True,0,0,0,0,0
Isaac Seumalo,/S/SeumIs00.htm,OG,0,4,2019,True,0,0,0,1,0
Tyler Shatley,/S/ShatTy00.htm,OG,0,6,2019,True,0,0,0,0,0
Ian Silberman,/S/SilbIa00.htm,OG,0,4,2018,True,0,0,0,0,0
Braden Smith,/S/SmitBr06.htm,OG,0,2,2019,True,0,0,0,0,0
Eric Smith,/S/SmitEr00.htm,OG,0,1,2019,True,0,0,0,0,0
Quinton Spain,/S/SpaiQu00.htm,OG,0,5,2019,True,0,0,0,0,0
Anthony Steen,/S/SteeAn00.htm,OG,0,4,2017,False,0,0,0,0,0
Xavier Su'a-Filo,/S/Sua-Xa00.htm,OG,0,6,2019,True,0,0,0,0,0
Wyatt Teller,/T/TellWy00.htm,OG,0,2,2019,True,0,0,0,0,0
Brandon Thomas,/T/ThomBr02.htm,OG,0,1,2014,True,0,0,0,0,0
Hugh Thornton,/T/ThorHu00.htm,OG,0,3,2015,False,0,0,0,0,0
Joe Thuney,/T/ThunJo00.htm,OG,0,4,2019,True,0,0,0,2,0
Laken Tomlinson,/T/TomlLa01.htm,OG,0,5,2019,True,0,0,0,0,0
J.C. Tretter,/T/TretJC00.htm,OG,0,6,2019,True,0,0,0,0,0
Sebastian Tretola,/T/TretSe00.htm,OG,0,1,2016,False,0,0,0,0,0
Landon Turner,/T/TurnLa00.htm,OG,0,1,2016,False,0,0,0,0,0
Trai Turner,/T/TurnTr01.htm,OG,0,6,2019,True,0,5,0,0,0
John Urschel,/U/UrscJo00.htm,OG,0,3,2016,False,0,0,0,0,0
Larry Warford,/W/WarfLa00.htm,OG,0,7,2019,True,0,3,0,0,0
Chance Warmack,/W/WarmCh00.htm,OG,0,6,2018,False,0,0,0,1,0
Brandon Washington,/W/WashBr00.htm,OG,0,3,2014,False,0,0,0,0,0
Earl Watford,/W/WatfEa00.htm,OG,0,6,2019,True,0,0,0,0,0
Chris Watt,/W/WattCh00.htm,OG,0,2,2015,False,0,0,0,0,0
Christian Westerman,/W/WestCh02.htm,OG,0,2,2018,False,0,0,0,0,0
Cody Whitehair,/W/WhitCo03.htm,OG,0,4,2019,True,0,1,0,0,0
Cody Wichmann,/W/WichCo00.htm,OG,0,2,2016,True,0,0,0,0,0
Brian Winters,/W/WintBr00.htm,OG,0,7,2019,True,0,0,0,0,0
David Yankey,/Y/YankDa00.htm,OG,0,3,2016,False,0,0,0,0,0
