Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Emmanuel Acho,/A/AchoEm00.htm,OLB,0,3,2014,False,0,0,0,0,0
Sam Acho,/A/AchoSa00.htm,OLB,0,9,2019,True,0,0,0,0,0
D.J. Alexander,/A/AlexD.00.htm,OLB,0,5,2019,True,0,1,0,0,0
Kwon Alexander,/A/AlexKw00.htm,OLB,0,5,2019,True,0,1,0,0,0
Denicos Allen,/A/AlleDe00.htm,OLB,0,1,2014,False,0,0,0,0,0
Ryan Anderson,/A/AndeRy00.htm,OLB,0,3,2019,True,0,0,0,0,0
Alex Anzalone,/A/AnzaAl00.htm,OLB,0,3,2019,True,0,0,0,0,0
Jeremiah Attaochu,/A/AttaJe00.htm,OLB,0,6,2019,True,0,0,0,0,0
Jerome Baker,/B/BakeJe00.htm,OLB,0,2,2019,True,0,0,0,0,0
Neiron Ball,/B/BallNe00.htm,OLB,0,1,2015,False,0,0,0,0,0
Anthony Barr,/B/BarrAn00.htm,OLB,0,6,2019,True,0,4,0,0,0
Shaquil Barrett,/B/BarrSh00.htm,OLB,0,6,2019,True,0,1,0,1,0
Houston Bates,/B/BateHo00.htm,OLB,0,2,2016,False,0,0,0,0,0
Vic Beasley,/B/BeasVi00.htm,OLB,0,5,2019,True,0,1,1,0,0
Brandon Bell,/B/BellBr01.htm,OLB,0,2,2018,False,0,0,0,0,0
Vince Biegel,/B/BiegVi00.htm,OLB,0,3,2019,True,0,0,0,0,0
Devante Bond,/B/BondDe00.htm,OLB,0,3,2019,True,0,0,0,0,0
Tashawn Bower,/B/BoweTa00.htm,OLB,0,2,2018,True,0,0,0,0,0
Tyus Bowser,/B/BowsTy00.htm,OLB,0,3,2019,True,0,0,0,0,0
Carl Bradford,/B/BradCa01.htm,OLB,0,3,2016,False,0,0,0,0,0
Bam Bradley,/B/BradBa00.htm,OLB,0,1,2017,False,0,0,0,0,0
Nigel Bradham,/B/BradNi00.htm,OLB,0,8,2019,True,0,0,0,1,0
Arthur Brown,/B/BrowAr00.htm,OLB,0,4,2016,False,0,0,0,0,0
