Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Oday Aboushi,/A/AbouOd00.htm,OT,0,6,2019,True,0,0,0,0,0
Mike Adams,/A/AdamMi02.htm,OT,0,5,2016,False,0,0,0,0,0
Terron Armstead,/A/ArmsTe00.htm,OT,0,7,2019,True,0,2,0,0,0
David Bakhtiari,/B/BakhDa00.htm,OT,0,7,2019,True,0,2,1,0,0
Willie Beavers,/B/BeavWi00.htm,OT,0,1,2016,False,0,0,0,0,0
Nick Becton,/B/BectNi00.htm,OT,0,3,2015,False,0,0,0,0,0
Caleb Benenoch,/B/BeneCa00.htm,OT,0,4,2019,True,0,0,0,0,0
Tony Bergstrom,/B/BergTo00.htm,OT,0,8,2019,True,0,0,0,0,0
Adam Bisnowaty,/B/BisnAd00.htm,OT,0,1,2017,False,0,0,0,0,0
Joel Bitonio,/B/BitoJo00.htm,OT,0,6,2019,True,0,2,0,0,0
Garett Bolles,/B/BollGa00.htm,OT,0,3,2019,True,0,0,0,0,0
Justin Britt,/B/BritJu00.htm,OT,0,6,2019,True,0,0,0,0,0
Jamon Brown,/B/BrowJa04.htm,OT,0,5,2019,True,0,0,0,0,0
Orlando Brown,/B/BrowOr00.htm,OT,0,2,2019,True,0,1,0,0,0
Trent Brown,/B/BrowTr02.htm,OT,0,5,2019,True,0,1,0,1,0
Daniel Brunskill,/B/BrunDa00.htm,OT,0,1,2019,True,0,0,0,0,0
Alex Cappa,/C/CappAl00.htm,OT,0,2,2019,True,0,0,0,0,0
Geron Christian,/C/ChriGe01.htm,OT,0,2,2019,True,0,0,0,0,0
Le'Raven Clark,/C/ClarLe01.htm,OT,0,3,2018,True,0,0,0,0,0
T.J. Clemmings,/C/ClemT.00.htm,OT,0,4,2018,True,0,0,0,0,0
Shon Coleman,/C/ColeSh00.htm,OT,0,2,2017,True,0,0,0,0,0
La'el Collins,/C/CollLa01.htm,OT,0,5,2019,True,0,0,0,0,0
Jack Conklin,/C/ConkJa00.htm,OT,0,4,2019,True,0,0,1,0,0
Tyrell Crosby,/C/CrosTy00.htm,OT,0,2,2019,True,0,0,0,0,0
Cole Croston,/C/CrosCo00.htm,OT,0,2,2018,True,0,0,0,1,0
Korey Cunningham,/C/CunnKo00.htm,OT,0,2,2019,True,0,0,0,0,0
Julie'n Davenport,/D/DaveJu00.htm,OT,0,3,2019,True,0,0,0,0,0
Taylor Decker,/D/DeckTa00.htm,OT,0,4,2019,True,0,0,0,0,0
Jamil Demby,/D/DembJa00.htm,OT,0,1,2019,True,0,0,0,0,0
Andrew Donnal,/D/DonnAn00.htm,OT,0,5,2019,True,0,0,0,0,0
Dakota Dozier,/D/DoziDa00.htm,OT,0,6,2019,True,0,0,0,0,0
Laurent Duvernay-Tardif,/D/DuveLa00.htm,OT,0,6,2019,True,0,0,0,1,0
Cameron Erving,/E/ErviCa00.htm,OT,0,5,2019,True,0,0,0,1,0
Tayo Fabuluje,/F/FabuTa00.htm,OT,0,1,2015,False,0,0,0,0,0
Eric Fisher,/F/FishEr00.htm,OT,0,7,2019,True,0,1,0,1,0
Jake Fisher,/F/FishJa00.htm,OT,0,4,2018,False,0,0,0,0,0
Cameron Fleming,/F/FlemCa00.htm,OT,0,6,2019,True,0,0,0,2,0
Ereck Flowers,/F/FlowEr00.htm,OT,0,5,2019,True,0,0,0,0,0
D.J. Fluker,/F/FlukDJ00.htm,OT,0,7,2019,True,0,0,0,0,0
Fou Fonoti,/F/FonoFo00.htm,OT,0,1,2014,False,0,0,0,0,0
Drew Forbes,/F/ForbDr00.htm,OT\n,0,1,2019,True,0,0,0,0,0
Reid Fragel,/F/FragRe00.htm,OT,0,2,2015,False,0,0,0,0,0
Nick Gates,/G/GateNi00.htm,OT,0,1,2019,True,0,0,0,0,0
Denzelle Good,/G/GoodDe01.htm,OT,0,5,2019,True,0,0,0,0,0
Kevin Graf,/G/GrafKe00.htm,OT,0,1,2014,False,0,0,0,0,0
Chaz Green,/G/GreeCh02.htm,OT,0,3,2018,False,0,0,0,0,0
Joe Haeg,/H/HaegJo00.htm,OT,0,4,2019,True,0,0,0,0,0
Rob Havenstein,/H/HaveRo00.htm,OT,0,5,2019,True,0,0,0,0,0
Jerald Hawkins,/H/HawkJe00.htm,OT,0,3,2019,True,0,0,0,0,0
Tanner Hawkinson,/H/HawkTa00.htm,OT,0,3,2015,False,0,0,0,0,0
Seantrel Henderson,/H/HendSe00.htm,OT,0,6,2019,True,0,0,0,0,0
Will Holden,/H/HoldWi00.htm,OT,0,2,2018,False,0,0,0,0,0
D.J. Humphries,/H/HumpD.00.htm,OT,0,4,2019,True,0,0,0,0,0
James Hurst,/H/HursJa00.htm,OT,0,6,2019,True,0,0,0,0,0
Germain Ifedi,/I/IfedGe00.htm,OT,0,4,2019,True,0,0,0,0,0
Ja'Wuan James,/J/JameJa01.htm,OT,0,6,2019,True,0,0,0,0,0
Luke Joeckel,/J/JoecLu00.htm,OT,0,5,2017,False,0,0,0,0,0
