Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Tom Brady,/B/BradTo00.htm,QB,0,20,2019,True,3,14,3,6,0
Tom Brady,/B/BradTo00.htm,QB,0,20,2019,True,3,14,3,6,0
Peyton Manning,/M/MannPe00.htm,QB,0,18,2015,False,5,14,7,2,0
Drew Brees,/B/BreeDr00.htm,QB,0,19,2019,True,0,13,1,1,0
Troy Aikman,/A/AikmTr00.htm,QB,1,12,2000,False,0,6,0,3,0
Eli Manning,/M/MannEl00.htm,QB,0,16,2019,True,0,4,0,2,0
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False,0,6,4,0,0
Derek Anderson,/A/AndeDe00.htm,QB,0,13,2018,False,0,1,0,0,0
Matt Barkley,/B/BarkMa00.htm,QB,0,7,2019,True,0,0,0,0,0
Tom Brandstater,/B/BranTo00.htm,QB,0,1,2011,False,0,0,0,0,0
Fay Abbott,/A/AbboFa20.htm,BB-FB-TB-QB-WB-E,0,9,1929,False,0,0,0,0,0
Frankie Albert,/A/AlbeFr00.htm,QB-DB,0,7,1952,False,0,1,0,0,0
Kyle Allen,/A/AlleKy00.htm,QB,0,2,2019,True,0,0,0,0,0
Josh Allen,/A/AlleJo02.htm,QB,0,2,2019,True,0,0,0,0,0
Billy Guy Anderson,/A/AndeBi21.htm,QB,0,1,1967,False,0,0,0,0,0
Derek Anderson,/A/AndeDe00.htm,QB,0,13,2018,False,0,1,0,0,0
Sammy Baugh,/B/BaugSa00.htm,QB-TB,1,16,1952,False,0,6,4,0,0
C.J. Beathard,/B/BeatC.00.htm,QB,0,2,2018,True,0,0,0,0,0
Pete Beathard,/B/BeatPe00.htm,QB,0,10,1973,False,0,0,0,0,0
Gary Beban,/B/BebaGa00.htm,QB,0,2,1969,False,0,0,0,0,0
John Beck,/B/BeckJo00.htm,QB,0,5,2011,False,0,0,0,0,0
Kerwin Bell,/B/BellKe00.htm,QB,0,1,1996,False,0,0,0,0,0
Guy Benjamin,/B/BenjGu00.htm,QB,0,6,1983,False,0,0,0,1,0
Fred Benners,/B/BennFr00.htm,QB,0,1,1952,False,0,0,0,0,0
Ben Bennett,/B/BennBe20.htm,QB,0,1,1987,False,0,0,0,0,0
Brock Berlin,/B/BerlBr00.htm,QB,0,2,2008,False,0,0,0,0,0
Bob Berry,/B/BerrBo00.htm,QB,0,11,1975,False,0,1,0,0,0
Angelo Bertelli,/B/BertAn20.htm,QB,0,3,1948,False,0,0,0,0,0
McLeod Bethel-Thompson,/B/BethMc00.htm,QB,0,3,2014,False,0,0,0,0,0
Steve Beuerlein,/B/BeueSt00.htm,QB,0,16,2003,False,0,1,0,1,0
Michael Bishop,/B/BishMi00.htm,QB,0,1,2000,False,0,0,0,0,0
Todd Blackledge,/B/BlacTo00.htm,QB,0,7,1989,False,0,0,0,0,0
Jeff Blake,/B/BlakJe00.htm,QB,0,14,2005,False,0,1,0,0,0
Matt Blanchard,/B/BlanMa00.htm,QB,0,3,2014,False,0,0,0,0,0
George Blanda,/B/BlanGe00.htm,QB,1,27,1975,False,0,4,1,0,0
Drew Bledsoe,/B/BledDr00.htm,QB,0,14,2006,False,0,4,0,1,0
Alex Smith,/S/SmitAl03.htm,QB,0,14,2018,True,0,3,0,0,0
Geno Smith,/S/SmitGe00.htm,QB,0,6,2018,True,0,0,0,0,0
Milt Smith,/S/SmitMi24.htm,DB-QB,0,1,1945,False,0,0,0,0,0
Ron Smith,/S/SmitRo03.htm,QB,0,2,1966,False,0,0,0,0,0
Rusty Smith,/S/SmitRu01.htm,QB,0,3,2012,False,0,0,0,0,0
Troy Smith,/S/SmitTr02.htm,QB,0,4,2010,False,0,0,0,0,0
Norm Snead,/S/SneaNo00.htm,QB,0,16,1976,False,0,4,0,0,0
Bob Snyder,/S/SnydBo20.htm,TB-QB,0,7,1943,False,0,2,0,0,0
Loren Snyder,/S/SnydLo20.htm,QB,0,1,1987,False,0,0,0,0,0
Freddie Solomon,/S/SoloFr01.htm,WR-QB-RB,0,11,1985,False,0,0,0,2,0
Butch Songin,/S/SongBu00.htm,QB,0,3,1962,False,0,0,0,0,0
Brad Sorensen,/S/SoreBr00.htm,QB,0,1,2014,False,0,0,0,0,0
Jim Sorgi,/S/SorgJi00.htm,QB,0,6,2009,False,0,0,0,1,0
Ronnie Lee South,/S/SoutRo00.htm,QB-P,0,1,1968,False,0,0,0,0,0
Dennis Sproul,/S/SproDe20.htm,QB,0,1,1978,False,0,0,0,0,0
Steve Spurrier,/S/SpurSt00.htm,QB-P,0,10,1976,False,0,0,0,0,0
Brian St. Pierre,/S/St.PBr20.htm,QB,0,7,2010,False,0,0,0,0,0
Ken Stabler,/S/StabKe00.htm,QB,1,15,1984,False,1,4,1,1,0
Matthew Stafford,/S/StafMa00.htm,QB,0,11,2019,True,0,1,0,0,0
Scott Stankavage,/S/StanSc00.htm,QB,0,4,1987,False,0,0,0,0,0
Drew Stanton,/S/StanDr00.htm,QB,0,10,2017,True,0,0,0,0,0
Ricky Stanzi,/S/StanRi00.htm,QB,0,3,2014,False,0,0,0,0,0
Bart Starr,/S/StarBa00.htm,QB,1,16,1971,False,1,4,1,2,0
Matt Stevens,/S/StevMa21.htm,QB,0,1,1987,False,0,0,0,0,0
Kordell Stewart,/S/StewKo00.htm,QB,0,11,2005,False,0,1,0,0,0
Mike Taliaferro,/T/TaliMi00.htm,QB,0,9,1972,False,0,1,0,0,0
Ryan Tannehill,/T/TannRy00.htm,QB,0,8,2019,True,0,1,0,0,0
Alex Tanney,/T/TannAl00.htm,QB,0,8,2019,True,0,0,0,0,0
Fran Tarkenton,/T/TarkFr00.htm,QB,1,18,1978,False,1,9,1,0,0
Scott Zolak,/Z/ZolaSc00.htm,QB,0,8,1999,False,0,0,0,0,0
Jim Zorn,/Z/ZornJi00.htm,QB,0,12,1987,False,0,0,0,0,0
