Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Thurman Thomas,/T/ThomTh00.htm,RB,1,13,2000,False,1,5,2,0,0
Emmitt Smith,/S/SmitEm00.htm,RB,1,15,2004,False,1,8,4,3,0
O.J. Simpson,/S/SimpO.00.htm,RB,1,11,1979,False,1,6,5,0,0
Barry Sanders,/S/SandBa00.htm,RB,1,10,1998,False,1,10,6,0,0
Joseph Addai,/A/AddaJo00.htm,RB,0,6,2011,False,0,1,0,1,0
Mike Alstott,/A/AlstMi00.htm,RB,0,11,2006,False,0,6,3,1,0
C.J. Anderson,/A/AndeC.00.htm,RB,0,7,2019,True,0,1,0,1,0
Damien Anderson,/A/AndeDa00.htm,RB,0,4,2005,False,0,0,0,0,0
Peyton Barber,/B/BarbPe01.htm,RB,0,4,2019,True,0,0,0,0,0
Tiki Barber,/B/BarbTi00.htm,RB,0,10,2006,False,0,3,1,0,0
Chris Barclay,/B/BarcCh00.htm,RB,0,1,2007,False,0,0,0,0,0
Saquon Barkley,/B/BarkSa00.htm,RB,0,2,2019,True,0,1,0,0,0
Kevan Barlow,/B/BarlKe00.htm,RB,0,6,2006,False,0,0,0,0,0
Kenjon Barner,/B/BarnKe00.htm,RB,0,7,2019,True,0,0,0,2,0
Larry Barnes,/B/BarnLa00.htm,RB,0,3,1979,False,0,0,0,0,0
Marlon Barnes,/B/BarnMa00.htm,RB,0,1,2000,False,0,0,0,0,0
