Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Jamal Adams,/A/AdamJa00.htm,SS,0,3,2019,True,0,2,1,0,0
Maurice Alexander,/A/AlexMa00.htm,SS,0,6,2019,True,0,0,0,0,0
Antonio Allen,/A/AlleAn02.htm,SS,0,5,2016,False,0,0,0,0,0
Vonn Bell,/B/BellVo00.htm,SS,0,4,2019,True,0,0,0,0,0
Nat Berhe,/B/BerhNa00.htm,SS,0,5,2018,False,0,0,0,0,0
Ahmad Black,/B/BlacAh00.htm,SS,0,3,2013,False,0,0,0,0,0
Deone Bucannon,/B/BucaDe00.htm,SS,0,6,2019,True,0,0,0,0,0
Ibraheim Campbell,/C/CampIb00.htm,SS,0,5,2019,True,0,0,0,0,0
Jeremy Cash,/C/CashJe00.htm,SS,0,2,2017,False,0,0,0,0,0
Marqui Christian,/C/ChriMa00.htm,SS,0,4,2019,True,0,0,0,0,0
Adrian Colbert,/C/ColbAd00.htm,SS,0,3,2019,True,0,0,0,0,0
Landon Collins,/C/CollLa00.htm,SS,0,5,2019,True,0,3,1,0,0
Johnathan Cyprien,/C/CyprJo00.htm,SS,0,7,2019,True,0,0,0,0,0
Ahmad Dixon,/D/DixoAh00.htm,SS,0,1,2014,False,0,0,0,0,0
Matt Elam,/E/ElamMa00.htm,SS,0,4,2016,False,0,0,0,0,0
DeShon Elliott,/E/ElliDe02.htm,SS,0,1,2019,True,0,0,0,0,0
Justin Evans,/E/EvanJu00.htm,SS,0,2,2018,True,0,0,0,0,0
Tre Flowers,/F/FlowTr01.htm,SS,0,2,2019,True,0,0,0,0,0
Shamiel Gary,/G/GarySh00.htm,SS,0,3,2016,False,0,0,0,0,0
Clayton Geathers,/G/GeatCl00.htm,SS,0,5,2019,True,0,0,0,0,0
Nathan Gerry,/G/GerrNa00.htm,SS,0,3,2019,True,0,0,0,1,0
Thomas Gordon,/G/GordTh00.htm,SS,0,1,2014,False,0,0,0,0,0
Ronnie Harrison,/H/HarrRo02.htm,SS,0,2,2019,True,0,0,0,0,0
Josh Harvey-Clemons,/H/HarvJo01.htm,SS,0,3,2019,True,0,0,0,0,0
Eddie Jackson,/J/JackEd01.htm,SS,0,3,2019,True,0,2,1,0,0
Derwin James,/J/JameDe00.htm,SS,0,2,2019,True,0,1,1,0,0
Kyshoen Jarrett,/J/JarrKy00.htm,SS,0,1,2015,False,0,0,0,0,0
Keelan Johnson,/J/JohnKe03.htm,SS,0,1,2013,False,0,0,0,0,0
Matt Johnson,/J/JohnMa05.htm,SS,0,1,2012,False,0,0,0,0,0
Don Jones,/J/JoneDo02.htm,SS,0,4,2016,False,0,0,0,1,0
Karl Joseph,/J/JoseKa00.htm,SS,0,4,2019,True,0,0,0,0,0
Jayron Kearse,/K/KearJa00.htm,SS,0,4,2019,True,0,0,0,0,0
Miles Killebrew,/K/KillMi00.htm,SS,0,4,2019,True,0,0,0,0,0
Derrick Kindred,/K/KindDe00.htm,SS,0,3,2018,False,0,0,0,0,0
Craig Loston,/L/LostCr00.htm,SS,0,2,2015,False,0,0,0,0,0
Shalom Luani,/L/LuanSh00.htm,SS,0,3,2019,True,0,0,0,0,0
Jordan Lucas,/L/LucaJo00.htm,SS,0,4,2019,True,0,0,0,1,0
Ronald Martin,/M/MartRo01.htm,SS,0,3,2017,False,0,0,0,0,0
Jerron McMillian,/M/McMiJe00.htm,SS,0,2,2013,False,0,0,0,0,0
Obi Melifonwu,/M/MeliOb00.htm,SS,0,2,2018,True,0,0,0,1,0
Charles Mitchell,/M/MitcCh01.htm,SS,0,1,2012,False,0,0,0,0,0
Zeke Motta,/M/MottZe00.htm,SS,0,2,2014,False,0,0,0,0,0
Montae Nicholson,/N/NichMo00.htm,SS,0,3,2019,True,0,0,0,0,0
Jabrill Peppers,/P/PeppJa00.htm,SS,0,3,2019,True,0,0,0,0,0
Eddie Pleasant,/P/PleaEd00.htm,SS,0,7,2018,False,0,0,0,0,0
Jordan Richards,/R/RichJo00.htm,SS,0,5,2019,True,0,0,0,1,0
James Sample,/S/SampJa00.htm,SS,0,1,2015,False,0,0,0,0,0
Tyler Sash,/S/SashTy00.htm,SS,0,2,2012,False,0,0,0,1,0
Dezmen Southward,/S/SoutDe00.htm,SS,0,4,2017,False,0,0,0,0,0
Jawanza Starling,/S/StarJa01.htm,SS,0,1,2013,False,0,0,0,0,0
Vinnie Sunseri,/S/SunsVi00.htm,SS,0,3,2016,False,0,0,0,0,0
Jaquiski Tartt,/T/TartJa00.htm,SS,0,5,2019,True,0,0,0,0,0
Brandon Taylor,/T/TaylBr02.htm,SS,0,1,2012,False,0,0,0,0,0
Cooper Taylor,/T/TaylCo01.htm,SS,0,3,2015,False,0,0,0,0,0
Robenson Therezie,/T/TherRo00.htm,SS,0,2,2016,False,0,0,0,0,0
Dymonte Thomas,/T/ThomDy01.htm,SS,0,2,2018,True,0,0,0,0,0
Shamarko Thomas,/T/ThomSh00.htm,SS,0,6,2018,False,0,0,0,0,0
Tedric Thompson,/T/ThomTe00.htm,SS,0,3,2019,True,0,0,0,0,0
Brock Vereen,/V/VereBr00.htm,SS,0,2,2015,False,0,0,0,0,0
Jimmie Ward,/W/WardJi01.htm,SS,0,6,2019,True,0,0,0,0,0
Corey White,/W/WhitCo01.htm,SS,0,5,2016,False,0,0,0,0,0
Jordan Whitehead,/W/WhitJo03.htm,SS,0,2,2019,True,0,0,0,0,0
Duke Williams,/W/WillDu00.htm,SS,0,4,2016,False,0,0,0,0,0
Shawn Williams,/W/WillSh02.htm,SS,0,7,2019,True,0,0,0,0,0
George Wilson,/W/WilsGe01.htm,SS,0,10,2014,False,0,0,0,0,0
Earl Wolff,/W/WolfEa00.htm,SS,0,2,2014,False,0,0,0,0,0
Xavier Woods,/W/WoodXa00.htm,SS,0,3,2019,True,0,0,0,0,0
