Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Isa Abdul-Quddus,/A/AbduIs00.htm,S,0,6,2016,False,0,0,0,0,0
Johnathan Abram,/A/AbraJo01.htm,S,0,1,2019,True,0,0,0,0,0
Jahleel Addae,/A/AddaJa00.htm,S,0,7,2019,True,0,0,0,0,0
Nasir Adderley,/A/AddeNa00.htm,S\n,0,1,2019,True,0,0,0,0,0
Marcus Allen,/A/AlleMa03.htm,S,0,2,2019,True,0,0,0,0,0
Ugochukwu Amadi,/A/AmadUg00.htm,S\n,0,1,2019,True,0,0,0,0,0
Troy Apke,/A/ApkeTr00.htm,S,0,2,2019,True,0,0,0,0,0
Sean Baker,/B/BakeSe00.htm,S,0,3,2014,False,0,0,0,0,0
Marcus Ball,/B/BallMa00.htm,S,0,3,2016,False,0,0,0,0,0
Chris Banjo,/B/BanjCh00.htm,S,0,7,2019,True,0,0,0,0,0
Brandan Bishop,/B/BishBr01.htm,S,0,1,2014,False,0,0,0,0,0
Marquise Blair,/B/BlaiMa01.htm,S,0,1,2019,True,0,0,0,0,0
Kentrell Brice,/B/BricKe00.htm,S,0,3,2018,True,0,0,0,0,0
Omar Brown,/B/BrowOm00.htm,S,0,2,2013,False,0,0,0,1,0
Josh Bush,/B/BushJo00.htm,S,0,4,2015,False,0,0,0,1,0
Rafael Bush,/B/BushRa00.htm,S,0,8,2018,False,0,0,0,0,0
Kevin Byard,/B/ByarKe01.htm,S,0,4,2019,True,0,1,1,0,0
Jamal Carter,/C/CartJa02.htm,S,0,3,2019,True,0,0,0,0,0
Jerome Couplin,/C/CoupJe00.htm,S,0,2,2015,False,0,0,0,0,0
Da'Mon Cromartie-Smith,/C/CromDa00.htm,S,0,3,2013,False,0,0,0,0,0
Justin Currie,/C/CurrJu00.htm,S,0,1,2017,True,0,0,0,0,0
Akeem Davis,/D/DaviAk00.htm,S,0,3,2016,False,0,0,0,0,0
Cody Davis,/D/DaviCo02.htm,S,0,7,2019,True,0,0,0,0,0
Kanorris Davis,/D/DaviKa00.htm,S,0,1,2013,False,0,0,0,0,0
K.J. Dillon,/D/DillK.00.htm,S,0,1,2016,False,0,0,0,0,0
Travell Dixon,/D/DixoTr01.htm,S,0,1,2016,False,0,0,0,0,0
Kurtis Drummond,/D/DrumKu01.htm,S,0,3,2017,False,0,0,0,0,0
Tony Dye,/D/DyexTo00.htm,S,0,2,2013,False,0,0,0,0,0
Terrell Edmunds,/E/EdmuTe00.htm,S,0,2,2019,True,0,0,0,0,0
