Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Mike Ditka,/D/DitkMi00.htm,TE,1,12,1972,False,0,5,2,1,0
Tony Gonzalez,/G/GonzTo00.htm,TE,1,17,2013,False,0,14,6,0,0
John Mackey,/M/MackJo00.htm,TE,1,10,1972,False,0,5,3,1,0
Charlie Sanders,/S/SandCh01.htm,TE,1,10,1977,False,0,7,3,0,0
Shannon Sharpe,/S/SharSh00.htm,TE,1,14,2003,False,0,8,4,3,0
Jeremy Shockey,/S/ShocJe00.htm,TE,0,10,2011,False,0,4,1,2,0
Mickey Shuler,/S/ShulMi00.htm,TE,0,14,1991,False,0,2,0,0,0
Eric Sievers,/S/SievEr00.htm,TE,0,10,1990,False,0,0,0,0,0
Mickey Shuler,/S/ShulMi01.htm,TE,0,6,2015,False,0,0,0,0,0
Eric Sievers,/S/SievEr00.htm,TE,0,1,1990,False,0,0,0,0,0
