Name,URL,Position,HallOfFame,TotalYears,LastYear,Active,MVP,Pro Bowl,All-Pro,SB Champ,AP PoY
Julio Jones,/J/JoneJu02.htm,WR,0,9,2019,True,0,7,2,0,0
Calvin Johnson,/J/JohnCa00.htm,WR,0,9,2015,False,0,6,3,0,0
Chad Johnson,/J/JohnCh01.htm,WR,0,11,2011,False,0,6,2,0,0
Randy Moss,/M/MossRa00.htm,WR,1,15,2012,False,0,6,4,0,0
Terrell Owens,/O/OwenTe00.htm,WR,1,15,2010,False,0,6,5,0,0
Donte' Stallworth,/S/StalDo00.htm,WR,0,11,2012,False,0,0,0,0,0
Golden Tate,/T/TateGo00.htm,WR,0,10,2019,True,0,1,0,1,0
Brandon Tate,/T/TateBr00.htm,WR,0,10,2018,False,0,0,0,0,0
Bobby Johnson,/J/JohnBo00.htm,WR,0,3,1986,False,0,0,0,1,0
Billy Johnson,/J/JohnBi01.htm,WR,0,15,1988,False,0,3,1,0,0
Bryant Johnson,/J/JohnBr02.htm,WR,0,9,2011,False,0,0,0,0,0
Butch Johnson,/J/JohnBu00.htm,WR,0,10,1985,False,0,0,0,1,0
Alonzo Johnson,/J/JohnAl00.htm,WR,0,1,1998,False,0,0,0,0,0

